PX_OPEN1,PX_HIGH1,PX_LOW1,PX_LAST1,PX_VOLUME1,OPEN_INT1,PX_OPEN2,PX_HIGH2,PX_LOW2,PX_LAST2,PX_VOLUME2,OPEN_INT2,Dates,VOL Change1,Vol Change %1,OI Change1,OI Change %1,CALENDAR,Vol Ratio,Vol Ratio Change,OI Ratio,OI Ratio Change,VOL Change2,Vol Change %2,OI Change2,OI Change %2
79.76,81.79,79.66,81.51,263542,290352,80.45,82.34,80.45,82.12,96295,178537,04/01/2010,,,,,-0.61,2.74,,1.63,,,,,
81.64,82,80.95,81.77,258887,280580,82.23,82.64,81.62,82.41,95556,180702,05/01/2010,-4655,-0.02,-9772,-0.03,-0.64,2.71,-0.01,1.55,-0.05,-739,-0.01,2165,0.01
81.45,83.52,80.85,83.18,370059,275043,82.17,84.08,81.5,83.75,139178,190543,06/01/2010,111172,0.43,-5537,-0.02,-0.57,2.66,-0.02,1.44,-0.07,43622,0.46,9841,0.05
83.19,83.36,82.26,82.66,246632,262309,83.81,83.93,82.81,83.19,112493,196110,07/01/2010,-123427,-0.33,-12734,-0.05,-0.53,2.19,-0.18,1.34,-0.07,-26685,-0.19,5567,0.03
82.65,83.47,81.8,82.75,310377,250371,83.22,83.98,82.4,83.3,120793,202989,08/01/2010,63745,0.26,-11938,-0.05,-0.55,2.57,0.17,1.23,-0.08,8300,0.07,6879,0.04
82.88,83.95,81.96,82.52,296304,226210,83.37,84.45,82.44,83.01,130542,227888,11/01/2010,-14073,-0.05,-24161,-0.1,-0.49,2.27,-0.12,0.99,-0.2,9749,0.08,24899,0.12
82.07,82.34,79.91,80.79,333866,189671,82.69,82.82,80.29,81.17,164315,255715,12/01/2010,37562,0.13,-36539,-0.16,-0.38,2.03,-0.1,0.74,-0.25,33773,0.26,27827,0.12
80.06,80.67,78.37,79.65,401627,140073,80.46,81.01,78.8,80.04,216845,303670,13/01/2010,67761,0.2,-49598,-0.26,-0.39,1.85,-0.09,0.46,-0.38,52530,0.32,47955,0.19
79.63,80.36,78.92,79.39,275404,101425,80,80.75,79.32,79.88,197449,339020,14/01/2010,-126223,-0.31,-38648,-0.28,-0.49,1.39,-0.25,0.3,-0.35,-19396,-0.09,35350,0.12
79.2,79.31,77.7,78,200555,68799,79.7,79.75,78.09,78.37,190088,343424,15/01/2010,-74849,-0.27,-32626,-0.32,-0.37,1.06,-0.24,0.2,-0.33,-7361,-0.04,4404,0.01
79.2,79.31,77.7,78,200555,68799,79.7,79.75,78.09,78.37,190088,343424,18/01/2010,0,0,0,0,-0.37,1.06,0,0.2,0,0,0,0,0
78.18,79.15,76.76,79.02,186882,25198,78.54,79.47,77.06,79.32,351108,357061,19/01/2010,-13673,-0.07,-43601,-0.63,-0.3,0.53,-0.5,0.07,-0.65,161020,0.85,13637,0.04
78.88,79.03,76.96,77.62,40679,2945,79.17,79.36,77.13,77.74,303758,372963,20/01/2010,-146203,-0.78,-22253,-0.88,-0.12,0.13,-0.75,0.01,-0.89,-47350,-0.13,15902,0.04
77.57,78.36,75.66,76.08,327417,366538,78.15,78.79,76.13,76.53,73163,135093,21/01/2010,286738,7.05,363593,123.46,-0.45,4.48,32.42,2.71,342.61,-230595,-0.76,-237870,-0.64
