PX_OPEN1,PX_HIGH1,PX_LOW1,PX_LAST1,PX_VOLUME1,OPEN_INT1,PX_OPEN2,PX_HIGH2,PX_LOW2,PX_LAST2,PX_VOLUME2,OPEN_INT2,Dates,VOL Change1,Vol Change %1,OI Change1,OI Change %1,CALENDAR,Vol Ratio,Vol Ratio Change,OI Ratio,OI Ratio Change,VOL Change2,Vol Change %2,OI Change2,OI Change %2
86.5,86.8,85.35,85.375,22978,121022,89.75,90,88.75,89.075,13944,77349,04/01/2010,,,,,-3.70,1.65,,1.56,,,,,
85.525,86.6,85.35,86.325,17203,115925,89.075,89.925,88.95,89.75,11866,78041,05/01/2010,-5775.00,-0.25,-5097.00,-0.04,-3.43,1.45,-0.12,1.49,-0.05,-2078.00,-0.15,692.00,0.01
86.45,86.775,85.625,85.95,20838,113031,89.7,90,89.25,89.65,11645,80560,06/01/2010,3635.00,0.21,-2894.00,-0.02,-3.70,1.79,0.23,1.40,-0.06,-221.00,-0.02,2519.00,0.03
86.05,86.65,85.55,85.925,18311,111303,89.6,90.1,89.05,89.45,11639,82262,07/01/2010,-2527.00,-0.12,-1728.00,-0.02,-3.53,1.57,-0.12,1.35,-0.04,-6.00,0.00,1702.00,0.02
85.775,86.175,85.4,85.825,28982,18479,89.4,89.9,88.9,89.8,22650,139055,08/01/2010,10671.00,0.58,-92824.00,-0.83,-3.97,1.28,-0.19,0.13,-0.90,11011.00,0.95,56793.00,0.69
85.875,85.875,85,85.05,27566,97092,89.65,89.65,88.95,89.225,21455,95918,11/01/2010,-1416.00,-0.05,78613.00,4.25,-4.18,1.28,0.00,1.01,6.62,-1195.00,-0.05,-43137.00,-0.31
85.05,85.575,84.75,85.45,29622,90221,89.15,89.45,88.65,89.225,23405,104439,12/01/2010,2056.00,0.07,-6871.00,-0.07,-3.77,1.27,-0.01,0.86,-0.15,1950.00,0.09,8521.00,0.09
85.475,86.05,85.1,85.7,30945,80232,89.425,89.9,88.95,89.7,28315,112230,13/01/2010,1323.00,0.04,-9989.00,-0.11,-4.00,1.09,-0.14,0.71,-0.17,4910.00,0.21,7791.00,0.07
85.975,86.8,85.8,86.65,34210,71261,89.875,90.675,89.7,90.55,33899,118243,14/01/2010,3265.00,0.11,-8971.00,-0.11,-3.90,1.01,-0.08,0.60,-0.16,5584.00,0.20,6013.00,0.05
86.95,87.425,86.85,87.35,22263,65661,90.5,91.1,90.4,90.525,24870,122874,15/01/2010,-11947.00,-0.35,-5600.00,-0.08,-3.18,0.90,-0.11,0.53,-0.11,-9029.00,-0.27,4631.00,0.04
86.95,87.425,86.85,87.35,22263,65661,90.5,91.1,90.4,90.525,24870,122874,18/01/2010,0.00,0.00,0.00,0.00,-3.18,0.90,0.00,0.53,0.00,0.00,0.00,0.00,0.00
87.45,87.95,87.1,87.9,14594,60848,90.5,91.225,90.375,91.175,12690,124448,19/01/2010,-7669.00,-0.34,-4813.00,-0.07,-3.27,1.15,0.28,0.49,-0.09,-12180.00,-0.49,1574.00,0.01
87.75,87.925,86.95,87.45,15310,57230,91,91.35,90.5,91.125,21249,128091,20/01/2010,716.00,0.05,-3618.00,-0.06,-3.68,0.72,-0.37,0.45,-0.09,8559.00,0.67,3643.00,0.03
87.3,87.3,86.45,86.85,11879,54703,90.95,90.95,90.025,90.5,14420,128949,21/01/2010,-3431.00,-0.22,-2527.00,-0.04,-3.65,0.82,0.14,0.42,-0.05,-6829.00,-0.32,858.00,0.01
87.25,87.25,86.4,86.625,10975,52909,90.35,90.8,90.1,90.55,13836,129957,22/01/2010,-904.00,-0.08,-1794.00,-0.03,-3.93,0.79,-0.04,0.41,-0.04,-584.00,-0.04,1008.00,0.01
