PX_OPEN1,PX_HIGH1,PX_LOW1,PX_LAST1,PX_VOLUME1,OPEN_INT1,PX_OPEN2,PX_HIGH2,PX_LOW2,PX_LAST2,PX_VOLUME2,OPEN_INT2,Dates,VOL Change1,Vol Change %1,OI Change1,OI Change %1,CALENDAR,Vol Ratio,Vol Ratio Change,OI Ratio,OI Ratio Change,VOL Change2,Vol Change %2,OI Change2,OI Change %2
706.5,726.3,705.5,721.7,6411,36811,689,706.5,686.6,702.8,2607,20265,04/01/2010,,,,,18.9,2.46,,1.82,,,,,
725.6,734.7,722.3,723,5244,36430,706.1,717.4,705.2,706.5,3524,20565,05/01/2010,-1167,-0.18,-381,-0.01,16.5,1.49,-0.39,1.77,-0.02,917,0.35,300,0.01
724.5,736.7,716.5,731.4,4295,35472,708.2,719.5,699.9,714.7,2848,20873,06/01/2010,-949,-0.18,-958,-0.03,16.7,1.51,0.01,1.7,-0.04,-676,-0.19,308,0.01
736.1,748,728,732.3,6023,35680,720,731.2,713.9,718.7,2824,20890,07/01/2010,1728,0.4,208,0.01,13.6,2.13,0.41,1.71,0.01,-24,-0.01,17,0
723.6,739.7,721.2,726.2,3436,35244,710,725.4,707.6,711.2,1782,21114,08/01/2010,-2587,-0.43,-436,-0.01,15,1.93,-0.1,1.67,-0.02,-1042,-0.37,224,0.01
721.8,725.7,709.7,717,6173,35627,708,710.3,696.1,703.9,1359,21304,11/01/2010,2737,0.8,383,0.01,13.1,4.54,1.36,1.67,0,-423,-0.24,190,0.01
714.9,733.2,712.9,725.1,4288,36441,703,719.4,699.2,711.2,1858,21038,12/01/2010,-1885,-0.31,814,0.02,13.9,2.31,-0.49,1.73,0.04,499,0.37,-266,-0.01
727.8,738.8,722.7,736.5,4662,35998,711.2,725.5,708.7,724.2,2368,21559,13/01/2010,374,0.09,-443,-0.01,12.3,1.97,-0.15,1.67,-0.04,510,0.27,521,0.02
736.4,742,728.1,731.8,2589,36133,728,728.8,717.2,721.5,1129,21684,14/01/2010,-2073,-0.44,135,0,10.3,2.29,0.16,1.67,0,-1239,-0.52,125,0.01
725.6,727.6,718.2,723.6,3009,35170,715.1,716.4,709.3,713.3,704,21515,15/01/2010,420,0.16,-963,-0.03,10.3,4.27,0.86,1.63,-0.02,-425,-0.38,-169,-0.01
725,733,725,732.7,1782,34845,717.8,722.8,715,722.6,487,21747,18/01/2010,-1227,-0.41,-325,-0.01,10.1,3.66,-0.14,1.6,-0.02,-217,-0.31,232,0.01
734.4,745,731.8,743.9,4849,34527,726,733.8,721.5,733.2,2509,22640,19/01/2010,3067,1.72,-318,-0.01,10.7,1.93,-0.47,1.53,-0.05,2022,4.15,893,0.04
749,760.1,742.9,750,6015,34010,738.5,748.4,732,739.9,3770,23092,20/01/2010,1166,0.24,-517,-0.01,10.1,1.6,-0.17,1.47,-0.03,1261,0.5,452,0.02
758,767,742.9,759,7434,33613,746,756.3,732.8,750.1,5210,24337,21/01/2010,1419,0.24,-397,-0.01,8.9,1.43,-0.11,1.38,-0.06,1440,0.38,1245,0.05
747.9,753,738.5,747,6038,32688,738.1,745.9,731.2,740.6,3333,26097,22/01/2010,-1396,-0.19,-925,-0.03,6.4,1.81,0.27,1.25,-0.09,-1877,-0.36,1760,0.07
748.1,759.3,746.9,753.2,6864,32107,742.6,754.2,741.8,752.5,5592,27424,25/01/2010,826,0.14,-581,-0.02,0.7,1.23,-0.32,1.17,-0.07,2259,0.68,1327,0.05
753.4,765.2,743.3,744.3,6733,31646,755.2,762.6,743.2,743.7,5672,28229,26/01/2010,-131,-0.02,-461,-0.01,0.6,1.19,-0.03,1.12,-0.04,80,0.01,805,0.03
744.7,744.7,721.1,722.5,10764,29677,743.4,743.8,719.3,721,10011,31313,27/01/2010,4031,0.6,-1969,-0.06,1.5,1.08,-0.09,0.95,-0.15,4339,0.76,3084,0.11
723,733.2,722.1,728.8,4917,28434,723,732.9,721.8,727.8,4279,32265,28/01/2010,-5847,-0.54,-1243,-0.04,1,1.15,0.07,0.88,-0.07,-5732,-0.57,952,0.03
735.9,746,733.8,742.9,6625,27537,735,747.9,734.2,743.8,5753,33201,29/01/2010,1708,0.35,-897,-0.03,-0.9,1.15,0,0.83,-0.06,1474,0.34,936,0.03
745.2,747.7,728.7,733.6,7520,29344,745.2,749.4,731.9,739.3,6236,33593,01/02/2010,895,0.14,1807,0.07,-5.7,1.21,0.05,0.87,0.05,483,0.08,392,0.01
733,740.9,732.6,734.5,9158,24386,738.9,744.9,732.9,735.8,6772,34416,02/02/2010,1638,0.22,-4958,-0.17,-1.3,1.35,0.12,0.71,-0.19,536,0.09,823,0.02
740.2,744.4,731.9,744.2,9550,21438,740.2,742.8,730.6,736.6,6087,35538,03/02/2010,392,0.04,-2948,-0.12,7.6,1.57,0.16,0.6,-0.15,-685,-0.1,1122,0.03
737.3,746.6,734,742.8,6366,18217,732.2,734,723.5,728.9,5598,36520,04/02/2010,-3184,-0.33,-3221,-0.15,13.9,1.14,-0.28,0.5,-0.17,-489,-0.08,982,0.03
733.3,748.6,712.9,724.5,7999,15032,721.4,730.5,691.1,703.5,8430,37260,05/02/2010,1633,0.26,-3185,-0.17,21,0.95,-0.17,0.4,-0.19,2832,0.51,740,0.02
735,739.3,727.2,738,5360,13445,714.2,720,705.4,713.8,7181,38371,08/02/2010,-2639,-0.33,-1587,-0.11,24.2,0.75,-0.21,0.35,-0.13,-1249,-0.15,1111,0.03
744,756,743.8,749.6,6933,9921,719,729,717.1,724.7,5377,39019,09/02/2010,1573,0.29,-3524,-0.26,24.9,1.29,0.73,0.25,-0.27,-1804,-0.25,648,0.02
748.6,748.9,736,744.5,2920,7460,725.6,730.3,716.8,730.3,5965,39817,10/02/2010,-4013,-0.58,-2461,-0.25,14.2,0.49,-0.62,0.19,-0.26,588,0.11,798,0.02
737.6,747,736,745.1,2224,4527,724.3,739.9,721.8,737.6,5387,41574,11/02/2010,-696,-0.24,-2933,-0.39,7.5,0.41,-0.16,0.11,-0.42,-578,-0.1,1757,0.04
742,752,738,741.2,3077,4527,743.2,750.6,731,736,5219,42312,12/02/2010,853,0.38,0,0,5.2,0.59,0.43,0.11,-0.02,-168,-0.03,738,0.02
742,752,738,741.2,3077,4527,743.2,750.6,731,736,5219,42312,15/02/2010,0,0,0,0,5.2,0.59,0,0.11,0,0,0,0,0
739.3,745.5,735,739,3634,42680,689,696.5,689,689.6,1445,16127,16/02/2010,557,0.18,38153,8.43,49.4,2.51,3.27,2.65,23.74,-3774,-0.72,-26185,-0.62
736.6,736.6,711.1,714,5726,42031,689.2,689.2,668.4,672.8,1639,16424,17/02/2010,2092,0.58,-649,-0.02,41.2,3.49,0.39,2.56,-0.03,194,0.13,297,0.02
710,714.1,704,706.9,3966,41781,669.8,674,664,669.9,731,16669,18/02/2010,-1760,-0.31,-250,-0.01,37,5.43,0.55,2.51,-0.02,-908,-0.55,245,0.01
709.1,714.5,699.4,706.3,4239,42491,670.5,675.4,663.5,671.2,1088,17184,19/02/2010,273,0.07,710,0.02,35.1,3.9,-0.28,2.47,-0.01,357,0.49,515,0.03
709.8,709.8,680,687.1,4077,42346,672,674,654.1,661.1,1147,17604,22/02/2010,-162,-0.04,-145,0,26,3.55,-0.09,2.41,-0.03,59,0.05,420,0.02
681.3,681.8,653.3,653.9,8212,41163,652.2,652.4,631,632.4,1599,18013,23/02/2010,4135,1.01,-1183,-0.03,21.5,5.14,0.44,2.29,-0.05,452,0.39,409,0.02
656.8,674.6,656,673.7,5500,39122,635,644.9,631,644.1,1837,18604,24/02/2010,-2712,-0.33,-2041,-0.05,29.6,2.99,-0.42,2.1,-0.08,238,0.15,591,0.03
672.1,675.9,657.9,661.7,4126,38358,643.1,644.5,627.1,632,797,18565,25/02/2010,-1374,-0.25,-764,-0.02,29.7,5.18,0.73,2.07,-0.02,-1040,-0.57,-39,0
666.9,672,655,669.9,3199,37751,636.3,642.7,626.1,642.1,1205,18753,26/02/2010,-927,-0.22,-607,-0.02,27.8,2.65,-0.49,2.01,-0.03,408,0.51,188,0.01
666.5,671.6,628,636.3,5080,36956,641,642.3,602.8,611.7,1467,19059,01/03/2010,1881,0.59,-795,-0.02,24.6,3.46,0.3,1.94,-0.04,262,0.22,306,0.02
626.7,627.8,606,618.6,4541,35672,600.9,600.9,579.6,592.9,1963,19369,02/03/2010,-539,-0.11,-1284,-0.03,25.7,2.31,-0.33,1.84,-0.05,496,0.34,310,0.02
631,633.4,618.6,619.5,6027,34596,597.5,602.4,589.3,590.4,2383,18719,03/03/2010,1486,0.33,-1076,-0.03,29.1,2.53,0.09,1.85,0,420,0.21,-650,-0.03
613.5,617.8,585.5,592,6932,33812,583.6,586.8,549.5,557,3949,18467,04/03/2010,905,0.15,-784,-0.02,35,1.76,-0.31,1.83,-0.01,1566,0.66,-252,-0.01
597.8,610.6,596.7,609.5,4560,32862,563.8,583,563.8,580.8,2405,18364,05/03/2010,-2372,-0.34,-950,-0.03,28.7,1.9,0.08,1.79,-0.02,-1544,-0.39,-103,-0.01
610,611.9,588,589.8,4484,31579,583.1,583.2,564.9,568.4,2186,18265,08/03/2010,-76,-0.02,-1283,-0.04,21.4,2.05,0.08,1.73,-0.03,-219,-0.09,-99,-0.01
587.1,587.1,553.8,555.3,7309,30793,564.1,564.2,540.8,542,2339,19313,09/03/2010,2825,0.63,-786,-0.02,13.3,3.12,0.52,1.59,-0.08,153,0.07,1048,0.06
553.4,553.6,518.7,537.1,12041,29129,540,540,504.7,520.6,5040,19782,10/03/2010,4732,0.65,-1664,-0.05,16.5,2.39,-0.24,1.47,-0.08,2701,1.15,469,0.02
538,548.8,524,531.7,6358,28605,523.2,531,509,515.1,2255,20266,11/03/2010,-5683,-0.47,-524,-0.02,16.6,2.82,0.18,1.41,-0.04,-2785,-0.55,484,0.02
530.6,553,530.4,540.9,4239,28642,514.1,530.5,513.2,517.9,2114,20109,12/03/2010,-2119,-0.33,37,0,23,2.01,-0.29,1.42,0.01,-141,-0.06,-157,-0.01
548.7,551.7,540.5,541.2,2261,28550,526.1,528.2,517,517.5,1619,20366,15/03/2010,-1978,-0.47,-92,0,23.7,1.4,-0.3,1.4,-0.02,-495,-0.23,257,0.01
539,545,520.6,521.4,6543,26711,517.2,521.3,501.6,502.4,2091,21412,16/03/2010,4282,1.89,-1839,-0.06,19,3.13,1.24,1.25,-0.11,472,0.29,1046,0.05
521.5,526,509.6,521.5,7054,26523,503.9,505,492.7,502.5,3403,22109,17/03/2010,511,0.08,-188,-0.01,19,2.07,-0.34,1.2,-0.04,1312,0.63,697,0.03
529.2,535.5,522.1,532.6,3216,26729,510.1,515.1,503.5,514,1281,22953,18/03/2010,-3838,-0.54,206,0.01,18.6,2.51,0.21,1.16,-0.03,-2122,-0.62,844,0.04
