PX_OPEN1,PX_HIGH1,PX_LOW1,PX_LAST1,PX_VOLUME1,OPEN_INT1,PX_OPEN2,PX_HIGH2,PX_LOW2,PX_LAST2,PX_VOLUME2,OPEN_INT2,Dates,VOL Change1,Vol Change %1,OI Change1,OI Change %1,CALENDAR,Vol Ratio,Vol Ratio Change,OI Ratio,OI Ratio Change,VOL Change2,Vol Change %2,OI Change2,OI Change %2
1043,1065.5,1041.25,1049.5,25947,12149,1050.5,1074.75,1050,1058,96727,219322,04/01/2010,,,,,-8.5,0.2682498165,,0.05539343978,,,,,
1047,1056,1042,1052.25,21073,10277,1057,1064.5,1050.5,1061,70423,221161,05/01/2010,-4874,-0.1878444522,-1872,-0.1540867561,-8.75,0.2992346251,0.1155072871,0.04646840989,-0.1611207018,-26304,-0.2719406164,1839,0.008384931744
1050,1058.5,1042.75,1050.5,17567,8179,1059.5,1068.25,1051,1059,71549,222779,06/01/2010,-3506,-0.1663740331,-2098,-0.2041451786,-8.5,0.2455240465,-0.179493194,0.03671351429,-0.2099253154,1126,0.01598909447,1618,0.007315937258
1050.5,1052,1016.5,1017.75,11754,7338,1058,1063,1024,1026,97956,223024,07/01/2010,-5813,-0.3309045369,-841,-0.1028243061,-8.25,0.1199926498,-0.5112794388,0.03290228854,-0.1038098864,26407,0.3690757383,245,0.00109974459
1018.25,1018.25,1005,1013,7820,5889,1026.75,1029,1013.25,1022,81853,223400,08/01/2010,-3934,-0.3346945721,-1449,-0.1974652494,-9,0.09553712142,-0.2038085531,0.02636078782,-0.1988159793,-16103,-0.1643901343,376,0.001685917211
1014,1022,997.5,1001.75,7286,4585,1024.5,1032.75,1005.75,1010.5,76746,225350,11/01/2010,-534,-0.06828644501,-1304,-0.2214297843,-8.75,0.09493654392,-0.00628632611,0.02034612824,-0.2281669129,-5107,-0.06239233748,1950,0.00872873769
999.5,1001.25,961.75,969.5,4953,2747,1008.75,1013.5,969,978,123097,223864,12/01/2010,-2333,-0.3202031293,-1838,-0.40087241,-8.5,0.04023656141,-0.5761741501,0.01227084301,-0.3968954258,46351,0.6039533005,-1486,-0.006594186821
965.5,983.75,964,983.5,1942,1355,978,993.75,971.5,992.5,96470,222102,13/01/2010,-3011,-0.6079143953,-1392,-0.5067346196,-9,0.02013061055,-0.4996935661,0.006100800533,-0.5028214013,-26627,-0.2163090896,-1762,-0.007870850159
983.75,986,967.5,968.5,1314,1066,993.5,993.75,975.25,984,80009,225202,14/01/2010,-628,-0.3233779609,-289,-0.2132841328,-15.5,0.0164231524,-0.1841701794,0.004733528121,-0.2241136068,-16461,-0.1706333575,3100,0.01395755104
983.5,988.75,971.75,974,76867,226066,989,995,978,980.25,21084,65580,15/01/2010,75553,57.49847793,225000,211.0694184,-6.25,3.645750332,220.9884614,3.447179018,727.2472882,-58925,-0.736479646,-159622,-0.7087947709
983.5,988.75,971.75,974,76867,226066,989,995,978,980.25,21084,65580,18/01/2010,0,0,0,0,-6.25,3.645750332,0,3.447179018,0,0,0,0,0
974,984,962.75,963.5,77968,227489,981.75,990,969.5,970.25,22699,67641,19/01/2010,1101,0.01432344179,1423,0.006294621925,-6.75,3.434864972,-0.05784415848,3.363182094,-0.02436685877,1615,0.07659836843,2061,0.03142726441
963.75,971,940.75,950,91096,228624,970.25,977.5,947.75,956.75,28918,68456,20/01/2010,13128,0.16837677,1135,0.004989252228,-6.75,3.150148696,-0.08289009263,3.339721865,-0.006975604623,6219,0.2739768272,815,0.01204890525
950,959.5,948.5,954,63894,227819,956.75,966,955.25,961,15258,67550,21/01/2010,-27202,-0.2986080618,-805,-0.003521065155,-7,4.187573732,0.3293257352,3.372598075,0.009843996503,-13660,-0.4723701501,-906,-0.01323477854
956,957,945.5,951.5,54161,225381,961.75,963.75,952.75,959.25,15468,69385,22/01/2010,-9733,-0.1523304223,-2438,-0.01070147793,-7.75,3.501486941,-0.1638387369,3.248266916,-0.03686509813,210,0.01376327173,1835,0.02716506292
955,956,935.25,940.5,72628,225881,961.5,964,943.5,949.5,26346,72721,25/01/2010,18467,0.3409649009,500,0.00221846562,-9,2.756699309,-0.2127061001,3.106131654,-0.0437572608,10878,0.7032583398,3336,0.0480795561
941,949.5,932,947.5,81769,220120,949.75,958.75,940.5,957,27761,73733,26/01/2010,9141,0.1258605497,-5761,-0.02550457985,-9.5,2.94546306,0.06847455211,2.985366118,-0.03887972212,1415,0.05370834282,1012,0.01391620027
