PX_OPEN1,PX_HIGH1,PX_LOW1,PX_LAST1,PX_VOLUME1,OPEN_INT1,PX_OPEN2,PX_HIGH2,PX_LOW2,PX_LAST2,PX_VOLUME2,OPEN_INT2,Dates,VOL Change1,Vol Change %1,OI Change1,OI Change %1,CALENDAR,Vol Ratio,Vol Ratio Change,OI Ratio,OI Ratio Change,VOL Change2,Vol Change %2,OI Change2,OI Change %2
27,27.83,27,27.62,40332,337499,25.5,26.1,25.36,25.94,15315,147603,04/01/2010,,,,,1.68,2.63,,2.29,,,,,
27.5,28.9,27.34,27.64,59890,331882,25.94,26.67,25.84,26.1,46392,151814,05/01/2010,19558.00,0.48,-5617.00,-0.02,1.54,1.29,-0.51,2.19,-0.04,31077.00,2.03,4211.00,0.03
27.63,28.55,27.3,28.41,50555,334143,25.99,27.05,25.84,26.88,31067,153078,06/01/2010,-9335.00,-0.16,2261.00,0.01,1.53,1.63,0.26,2.18,0.00,-15325.00,-0.33,1264.00,0.01
28.24,28.95,27.91,28,53943,327823,26.73,27.56,26.62,26.7,41189,152667,07/01/2010,3388.00,0.07,-6320.00,-0.02,1.30,1.31,-0.20,2.15,-0.02,10122.00,0.33,-411.00,0.00
27.93,28.35,27.31,27.53,48457,322543,26.7,27.11,26.04,26.25,29041,154051,08/01/2010,-5486.00,-0.10,-5280.00,-0.02,1.28,1.67,0.27,2.09,-0.02,-12148.00,-0.29,1384.00,0.01
27.53,27.73,26.7,26.75,58092,311348,26.25,26.48,25.62,25.65,29951,157814,11/01/2010,9635.00,0.20,-11195.00,-0.03,1.10,1.94,0.16,1.97,-0.06,910.00,0.03,3763.00,0.02
26.93,27.98,26.87,27.36,64892,310697,25.75,26.6,25.75,26.04,32876,162034,12/01/2010,6800.00,0.12,-651.00,0.00,1.32,1.97,0.02,1.92,-0.03,2925.00,0.10,4220.00,0.03
27.64,28.28,27.4,28.04,52239,305384,26.15,26.85,26,26.77,30301,163902,13/01/2010,-12653.00,-0.19,-5313.00,-0.02,1.27,1.72,-0.13,1.86,-0.03,-2575.00,-0.08,1868.00,0.01
27.95,28.34,27.7,27.76,40529,299355,26.77,27.04,26.43,26.52,25358,164510,14/01/2010,-11710.00,-0.22,-6029.00,-0.02,1.24,1.60,-0.07,1.82,-0.02,-4943.00,-0.16,608.00,0.00
27.78,27.83,27.32,27.62,30712,297207,26.5,26.56,26.13,26.38,14162,164169,15/01/2010,-9817.00,-0.24,-2148.00,-0.01,1.24,2.17,0.36,1.81,-0.01,-11196.00,-0.44,-341.00,0.00
