PX_OPEN1,PX_HIGH1,PX_LOW1,PX_LAST1,PX_VOLUME1,OPEN_INT1,PX_OPEN2,PX_HIGH2,PX_LOW2,PX_LAST2,PX_VOLUME2,OPEN_INT2,Dates,VOL Change1,Vol Change %1,OI Change1,OI Change %1,CALENDAR,Vol Ratio,Vol Ratio Change,OI Ratio,OI Ratio Change,VOL Change2,Vol Change %2,OI Change2,OI Change %2
16.94,17.6,16.85,17.463,31033,79259,16.995,17.59,16.915,17.485,1203,13872,04/01/2010,,,,,-0.02,25.80,,5.71,,,,,
17.595,17.885,17.51,17.8,33066,78876,17.66,17.895,17.555,17.822,478,13735,05/01/2010,2033.00,0.07,-383.00,0.00,-0.02,69.18,1.68,5.74,0.01,-725.00,-0.60,-137.00,-0.01
17.765,18.245,17.755,18.175,35556,78543,17.85,18.255,17.8,18.198,854,13222,06/01/2010,2490.00,0.08,-333.00,0.00,-0.02,41.63,-0.40,5.94,0.03,376.00,0.79,-513.00,-0.04
18.205,18.42,18.055,18.345,27484,80019,18.205,18.395,18.09,18.368,756,13018,07/01/2010,-8072.00,-0.23,1476.00,0.02,-0.02,36.35,-0.13,6.15,0.03,-98.00,-0.11,-204.00,-0.02
18.275,18.525,18.055,18.47,35476,61878,18.13,18.53,18.09,18.493,340,12943,08/01/2010,7992.00,0.29,-18141.00,-0.23,-0.02,104.34,1.87,4.78,-0.22,-416.00,-0.55,-75.00,-0.01
18.505,18.925,18.495,18.695,31146,82445,18.68,18.9,18.6,18.719,2903,14664,11/01/2010,-4330.00,-0.12,20567.00,0.33,-0.02,10.73,-0.90,5.62,0.18,2563.00,7.54,1721.00,0.13
18.57,18.81,18.16,18.255,35423,79678,18.67,18.8,18.23,18.278,1588,13853,12/01/2010,4277.00,0.14,-2767.00,-0.03,-0.02,22.31,1.08,5.75,0.02,-1315.00,-0.45,-811.00,-0.06
18.27,18.675,18.2,18.55,31945,80206,18.315,18.64,18.25,18.573,559,13946,13/01/2010,-3478.00,-0.10,528.00,0.01,-0.02,57.15,1.56,5.75,0.00,-1029.00,-0.65,93.00,0.01
18.615,18.74,18.455,18.655,24813,80067,18.66,18.76,18.48,18.678,772,14108,14/01/2010,-7132.00,-0.22,-139.00,0.00,-0.02,32.14,-0.44,5.68,-0.01,213.00,0.38,162.00,0.01
18.68,18.69,18.4,18.427,22837,80748,18.6,18.62,18.425,18.45,2691,12601,15/01/2010,-1976.00,-0.08,681.00,0.01,-0.02,8.49,-0.74,6.41,0.13,1919.00,2.49,-1507.00,-0.11
18.68,18.69,18.4,18.427,22837,80748,18.6,18.62,18.425,18.45,2691,12601,18/01/2010,0.00,0.00,0.00,0.00,-0.02,8.49,0.00,6.41,0.00,0.00,0.00,0.00,0.00
18.41,18.88,18.4,18.8,35857,82108,18.5,18.88,18.5,18.824,5457,12866,19/01/2010,13020.00,0.57,1360.00,0.02,-0.02,6.57,-0.23,6.38,0.00,2766.00,1.03,265.00,0.02
18.79,18.87,17.805,17.88,53618,75187,18.875,18.875,17.84,17.901,5759,14154,20/01/2010,17761.00,0.50,-6921.00,-0.08,-0.02,9.31,0.42,5.31,-0.17,302.00,0.06,1288.00,0.10
17.91,18.065,17.34,17.51,50924,73803,18.01,18.08,17.385,17.531,3754,15772,21/01/2010,-2694.00,-0.05,-1384.00,-0.02,-0.02,13.57,0.46,4.68,-0.12,-2005.00,-0.35,1618.00,0.11
17.445,17.52,16.88,16.932,46913,72559,17.435,17.51,16.95,16.952,2163,15513,22/01/2010,-4011.00,-0.08,-1244.00,-0.02,-0.02,21.69,0.60,4.68,0.00,-1591.00,-0.42,-259.00,-0.02
17.05,17.275,16.99,17.145,27773,70889,17.025,17.295,17.02,17.167,980,15633,25/01/2010,-19140.00,-0.41,-1670.00,-0.02,-0.02,28.34,0.31,4.53,-0.03,-1183.00,-0.55,120.00,0.01
17.155,17.27,16.34,16.86,46809,70681,17.24,17.285,16.375,16.882,2286,16276,26/01/2010,19036.00,0.69,-208.00,0.00,-0.02,20.48,-0.28,4.34,-0.04,1306.00,1.33,643.00,0.04
16.8,16.965,16.425,16.44,33157,70159,16.85,16.975,16.46,16.461,578,16293,27/01/2010,-13652.00,-0.29,-522.00,-0.01,-0.02,57.37,1.80,4.31,-0.01,-1708.00,-0.75,17.00,0.00
16.59,16.755,16.015,16.212,45229,66523,16.64,16.77,16.04,16.233,2914,17245,28/01/2010,12072.00,0.36,-3636.00,-0.05,-0.02,15.52,-0.73,3.86,-0.10,2336.00,4.04,952.00,0.06
16.26,16.375,16.02,16.19,34638,66831,16.255,16.38,16.05,16.211,1289,17919,29/01/2010,-10591.00,-0.23,308.00,0.00,-0.02,26.87,0.73,3.73,-0.03,-1625.00,-0.56,674.00,0.04
16.17,16.715,16.105,16.66,32608,64628,16.22,16.715,16.13,16.682,2762,18132,01/02/2010,-2030.00,-0.06,-2203.00,-0.03,-0.02,11.81,-0.56,3.56,-0.04,1473.00,1.14,213.00,0.01
16.695,16.81,16.555,16.743,30476,65080,16.675,16.815,16.605,16.766,2546,18635,02/02/2010,-2132.00,-0.07,452.00,0.01,-0.02,11.97,0.01,3.49,-0.02,-216.00,-0.08,503.00,0.03
16.74,16.95,16.28,16.317,39504,64593,16.77,16.96,16.33,16.34,1207,19046,03/02/2010,9028.00,0.30,-487.00,-0.01,-0.02,32.73,1.73,3.39,-0.03,-1339.00,-0.53,411.00,0.02
16.4,16.415,15.19,15.35,66055,62174,16.43,16.43,15.215,15.371,5465,20792,04/02/2010,26551.00,0.67,-2419.00,-0.04,-0.02,12.09,-0.63,2.99,-0.12,4258.00,3.53,1746.00,0.09
15.305,15.38,14.65,14.83,58180,60991,15.34,15.4,14.68,14.851,5757,22701,05/02/2010,-7875.00,-0.12,-1183.00,-0.02,-0.02,10.11,-0.16,2.69,-0.10,292.00,0.05,1909.00,0.09
15.16,15.32,14.95,15.085,34599,57350,15.2,15.315,14.99,15.109,5198,23923,08/02/2010,-23581.00,-0.41,-3641.00,-0.06,-0.02,6.66,-0.34,2.40,-0.11,-559.00,-0.10,1222.00,0.05
15.025,15.595,15.015,15.435,45762,54047,15.05,15.6,15.04,15.46,7785,24735,09/02/2010,11163.00,0.32,-3303.00,-0.06,-0.03,5.88,-0.12,2.19,-0.09,2587.00,0.50,812.00,0.03
15.475,15.645,15.075,15.3,42715,50945,15.5,15.65,15.11,15.325,7729,27172,10/02/2010,-3047.00,-0.07,-3102.00,-0.06,-0.02,5.53,-0.06,1.87,-0.14,-56.00,-0.01,2437.00,0.10
15.2,15.73,15.175,15.59,40994,47565,15.245,15.745,15.205,15.616,7455,30589,11/02/2010,-1721.00,-0.04,-3380.00,-0.07,-0.03,5.50,-0.01,1.55,-0.17,-274.00,-0.04,3417.00,0.13
15.65,15.74,15.21,15.447,31992,45945,15.74,15.74,15.24,15.472,3861,32068,12/02/2010,-9002.00,-0.22,-1620.00,-0.03,-0.03,8.29,0.51,1.43,-0.08,-3594.00,-0.48,1479.00,0.05
15.65,15.74,15.21,15.447,31992,45945,15.74,15.74,15.24,15.472,3861,32068,15/02/2010,0.00,0.00,0.00,0.00,-0.03,8.29,0.00,1.43,0.00,0.00,0.00,0.00,0.00
15.565,16.215,15.45,16.148,45058,43391,15.6,16.24,15.5,16.175,11866,35397,16/02/2010,13066.00,0.41,-2554.00,-0.06,-0.03,3.80,-0.54,1.23,-0.14,8005.00,2.07,3329.00,0.10
16.155,16.33,15.825,16.098,45143,41641,16.18,16.355,15.865,16.123,12705,37068,17/02/2010,85.00,0.00,-1750.00,-0.04,-0.03,3.55,-0.06,1.12,-0.08,839.00,0.07,1671.00,0.05
15.91,16.265,15.675,16.06,40466,38403,15.875,16.265,15.7,16.085,10529,38422,18/02/2010,-4677.00,-0.10,-3238.00,-0.08,-0.03,3.84,0.08,1.00,-0.11,-2176.00,-0.17,1354.00,0.04
15.82,16.51,15.76,16.413,37014,36697,15.855,16.535,15.785,16.439,7450,40295,19/02/2010,-3452.00,-0.09,-1706.00,-0.04,-0.03,4.97,0.29,0.91,-0.09,-3079.00,-0.29,1873.00,0.05
16.37,16.565,16.135,16.222,36756,31894,16.425,16.595,16.165,16.248,16037,43664,22/02/2010,-258.00,-0.01,-4803.00,-0.13,-0.03,2.29,-0.54,0.73,-0.20,8587.00,1.15,3369.00,0.08
16.22,16.425,15.785,15.888,45113,22545,16.24,16.46,15.81,15.913,21793,51251,23/02/2010,8357.00,0.23,-9349.00,-0.29,-0.03,2.07,-0.10,0.44,-0.40,5756.00,0.36,7587.00,0.17
15.85,16,15.62,15.94,45350,12267,15.905,16.02,15.65,15.963,30078,58565,24/02/2010,237.00,0.01,-10278.00,-0.46,-0.02,1.51,-0.27,0.21,-0.52,8285.00,0.38,7314.00,0.14
15.93,16.155,15.61,16.11,36532,3752,15.95,16.175,15.63,16.132,46680,60987,25/02/2010,-8818.00,-0.19,-8515.00,-0.69,-0.02,0.78,-0.48,0.06,-0.71,16602.00,0.55,2422.00,0.04
16.095,16.52,16.025,16.5,3883,1752,16.115,16.55,16.045,16.521,30203,62023,26/02/2010,-32649.00,-0.89,-2000.00,-0.53,-0.02,0.13,-0.84,0.03,-0.54,-16477.00,-0.35,1036.00,0.02
16.5,16.74,16.415,16.449,1010,1025,16.53,16.77,16.43,16.469,25616,63104,01/03/2010,-2873.00,-0.74,-727.00,-0.41,-0.02,0.04,-0.69,0.02,-0.42,-4587.00,-0.15,1081.00,0.02
16.475,17.075,16.32,17.044,749,766,16.47,17.105,16.33,17.064,34385,63223,02/03/2010,-261.00,-0.26,-259.00,-0.25,-0.02,0.02,-0.45,0.01,-0.25,8769.00,0.34,119.00,0.00
16.945,17.35,16.895,17.309,852,634,16.945,17.37,16.885,17.329,31912,63315,03/03/2010,103.00,0.14,-132.00,-0.17,-0.02,0.03,0.23,0.01,-0.17,-2473.00,-0.07,92.00,0.00
17.14,17.35,17.06,17.156,648,650,17.2,17.395,17.055,17.176,29640,63686,04/03/2010,-204.00,-0.24,16.00,0.03,-0.02,0.02,-0.18,0.01,0.02,-2272.00,-0.07,371.00,0.01
17.14,17.475,17.13,17.362,339,553,17.135,17.515,17.135,17.382,25922,64497,05/03/2010,-309.00,-0.48,-97.00,-0.15,-0.02,0.01,-0.40,0.01,-0.16,-3718.00,-0.13,811.00,0.01
17.385,17.48,17.165,17.252,293,530,17.39,17.53,17.125,17.272,27339,64942,08/03/2010,-46.00,-0.14,-23.00,-0.04,-0.02,0.01,-0.18,0.01,-0.05,1417.00,0.05,445.00,0.01
17.225,17.325,16.91,17.318,374,683,17.25,17.42,16.875,17.338,33935,64965,09/03/2010,81.00,0.28,153.00,0.29,-0.02,0.01,0.03,0.01,0.29,6596.00,0.24,23.00,0.00
17.35,17.54,16.995,16.994,256,557,17.28,17.665,16.94,17.018,43769,64509,10/03/2010,-118.00,-0.32,-126.00,-0.18,-0.02,0.01,-0.47,0.01,-0.18,9834.00,0.29,-456.00,-0.01
17.01,17.135,16.88,17.136,474,523,17.02,17.195,16.835,17.16,29549,64358,11/03/2010,218.00,0.85,-34.00,-0.06,-0.02,0.02,1.74,0.01,-0.06,-14220.00,-0.32,-151.00,0.00
