PX_OPEN1,PX_HIGH1,PX_LOW1,PX_LAST1,PX_VOLUME1,OPEN_INT1,PX_OPEN2,PX_HIGH2,PX_LOW2,PX_LAST2,PX_VOLUME2,OPEN_INT2,Dates,VOL Change1,Vol Change %1,OI Change1,OI Change %1,CALENDAR,Vol Ratio,Vol Ratio Change,OI Ratio,OI Ratio Change,VOL Change2,Vol Change %2,OI Change2,OI Change %2
544.75,561.25,544,557.75,41278,183347,559.25,574.25,559,570.75,6502,44136,04/01/2010,,,,,-13,6.348508151,,4.154137212,,,,,
556.75,561.5,552,553,36721,180220,569.75,574,564.5,565.5,8553,44472,05/01/2010,-4557,-0.1103977906,-3127,-0.01705509226,-12.5,4.293347363,-0.3237234227,4.052437489,-0.02448155135,2051,0.3154414026,336,0.007612833061
552,567.75,551,567.25,38505,181664,565.25,580,563.5,579.75,7692,45569,06/01/2010,1784,0.04858255494,1444,0.008012429253,-12.5,5.005850234,0.1659550952,3.986569817,-0.01625384025,-861,-0.1006664328,1097,0.02466720633
566.5,568,556,557.75,33873,180173,578,580.25,568.25,570,4629,46367,07/01/2010,-4632,-0.1202960654,-1491,-0.008207459926,-12.25,7.317563189,0.4618022607,3.885802403,-0.0252767214,-3063,-0.3982059282,798,0.01751190502
557.5,570,545.25,568.5,39552,182514,568,582,558,580.75,6662,98502,08/01/2010,5679,0.1676556549,2341,0.01299306777,-12.25,5.936955869,-0.1886703652,1.852896388,-0.5231624782,2033,0.4391877295,52135,1.124398818
569,575,563.5,572.5,46168,188934,580,587,576,584.75,7000,47544,11/01/2010,6616,0.1672734628,6420,0.03517538381,-12.25,6.595428571,0.1109108299,3.97387683,1.14468378,338,0.05073551486,-50958,-0.5173295974
570,570.5,520.5,535.75,83837,187749,581,581.75,533.75,548.75,19212,48775,12/01/2010,37669,0.8159114538,-1185,-0.006272031503,-13,4.363783052,-0.3383624726,3.849287545,-0.03135207516,12212,1.744571429,1231,0.02589180549
534.75,538,519.25,537,60488,188175,547,550.75,532.75,550,10710,49587,13/01/2010,-23349,-0.2785047175,426,0.002268986786,-13,5.647805789,0.2942453191,3.794845423,-0.01414342811,-8502,-0.4425359151,812,0.01664787289
536.75,537.25,525.5,527.75,40114,190846,550.25,550.25,538.75,540.75,10184,49691,14/01/2010,-20374,-0.3368271393,2671,0.01419423409,-13,3.938923802,-0.3025744954,3.840655249,0.01207159216,-526,-0.04911297852,104,0.002097323895
525.25,525.75,509,510,42360,190812,538.25,538.25,522.75,523.5,8218,50114,15/01/2010,2246,0.05599042728,-34,-0.0001781541138,-13.5,5.154538817,0.3086160272,3.807558766,-0.008617405437,-1966,-0.1930479183,423,0.008512607917
